Var1,Var2,Var3,value,min_species_for_fit,order,frac,data_type,tag
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:503
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:503
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:503
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:503
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:493
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:483
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
H._squamatum,S._viscosa,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
H._squamatum,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
S._viscosa,C._hispanica,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,S._viscosa,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,H._squamatum,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_G._struthium,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,S._viscosa,C._hispanica,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,S._viscosa,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
H._squamatum,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
S._viscosa,C._hispanica,Other_species,0,1,2,-1,restoration,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,H._squamatum,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,Nurse_G._struthium,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,S._viscosa,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,C._hispanica,0,1,2,-1,natural,2025-07-19 17:27:473
Nurse_S._viscosa,H._squamatum,Other_species,0,1,2,-1,natural,2025-07-19 17:27:473
